Old #,New #,Name
303,300,Aberdeen
310,301,Alberta
309,302,Athos
312,303,Bimberi
330,304,Cascade
328,305,Denali
329,306,Everest
336,307,Fuji
337,308,Glasgow
338,309,Humboldt
345,310,Ingleborough
349,311,Irazu
354,312,Juneau
353,313,K2
352,314,Kilauea
343,315,Krakatoa
341,316,Lefroy
331,317,Link Sar
332,318,Meru
333,320,Nero
327,321,Olympus
326,322,Pike
324,325,Quandary
306,326,Silver Peak
307,327,Timpanogos
308,328,Victoria
301,329,Whistler
302,330,Mont Blanc
